
OFFICIAL    2022-23 STATS:

	PLAYER	TEAM	AGE	GP	W	L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	PF	FP	DD2	TD3	+/-
82	17	65	.207	48.3	110.3	39.6	87.1	45.4	11.4	32.4	35.1	19.8	25.7	77.1	11.2	31.3	42.4	23.0	15.1	7.0	3.8	5.5	22.1	21.0	-8.2


Best INDIVIDUAL defense: 
	
PLAYER	TEAM	AGE	GP	W	L	MIN	DEF RTG	DREB	DREB%	%DREB	STL	STL%	BLK	%BLK	OPP PTS
OFF TOV	OPP PTS
2ND CHANCE	OPP PTS
FB	OPP PTS
PAINT	DEF
WS
1	Evan Mobley	CLE	22	5	1	4	37.5	102.2	7.0	17.3	31.0	0.6	10.3	1.2	33.3	16.4	13.8	12.0	34.8	0.196
2	Immanuel Quickley	NYK	24	8	5	3	21.9	95.0	1.4	5.8	9.3	0.5	11.8	0.0	0.0	7.9	5.1	2.8	16.3	0.161
3	Darius Garland	CLE	23	5	1	4	37.7	107.1	1.8	4.7	8.4	1.6	28.6	0.2	6.3	15.4	15.2	10.8	37.6	0.143
4	Andrew Wiggins	GSW	28	13	6	7	34.0	106.4	3.8	10.1	15.4	0.8	14.3	1.2	35.7	10.6	9.8	9.4	32.5	0.136
5	Quentin Grimes	NYK	23	9	4	5	26.9	103.6	2.4	8.5	12.7	1.0	25.7	0.6	21.7	10.4	7.6	5.2	24.4	0.131
6	Aaron Gordon	DEN	27	20	16	4	35.6	107.5	3.6	9.7	13.5	0.6	10.4	0.7	21.0	8.8	7.5	9.7	33.4	0.130
7	Donovan Mitchell	CLE	26	5	1	4	41.3	109.0	4.4	10.2	19.5	2.0	34.5	0.6	17.6	17.6	16.8	14.2	38.8	0.130
8	Isaac Okoro	CLE	22	5	1	4	14.9	91.3	0.8	4.8	8.5	0.4	25.0	0.4	50.0	7.2	4.6	5.0	13.6	0.130
9	Tyler Herro	MIA	23	1	1	0	19.5	100.0	2.0	9.5	16.7	0.0	0.0	1.0	100	10.0	9.0	0.0	18.0	0.129
10	Jamal Murray	DEN	26	20	16	4	39.9	108.9	4.9	12.2	17.1	1.5	25.6	0.3	7.9	10.3	8.7	11.2	38.2	0.129
11	Xavier Tillman	MEM	24	6	2	4	30.5	105.7	5.2	15.5	25.0	0.7	16.0	0.7	28.6	10.8	9.7	11.7	34.0	0.126
12	Jalen Brunson	NYK	26	11	6	5	40.3	109.5	4.1	10.3	15.2	1.5	25.8	0.1	2.6	14.9	9.7	8.4	36.4	0.122
13	Kevon Looney	GSW	27	13	6	7	25.0	103.7	8.4	30.0	45.4	0.6	16.0	0.4	16.7	9.3	7.2	7.2	28.5	0.121
14	Austin Reaves	LAL	25	16	8	8	36.2	108.5	3.2	7.9	11.8	0.6	11.5	0.2	3.8	10.9	10.0	11.3	33.6	0.121
15	Jaren Jackson Jr.	MEM	23	6	2	4	36.7	108.8	4.5	11.5	17.9	1.0	19.4	2.0	63.2	12.5	14.8	12.8	40.3	0.120
16	Desmond Bane	MEM	25	6	2	4	38.6	109.4	4.8	11.9	18.5	0.5	8.3	0.0	0.0	14.2	15.2	14.0	43.7	0.120
17	Caris LeVert	CLE	28	5	1	4	33.9	108.3	3.8	10.9	20.0	0.4	7.1	0.2	8.3	15.2	12.6	9.6	34.4	0.118
18	Kevin Huerter	SAC	24	7	3	4	26.2	104.8	4.3	14.0	22.9	0.4	8.3	1.3	45.0	6.6	9.3	6.9	22.9	0.116
19	Julius Randle	NYK	28	10	6	4	33.0	108.0	6.6	19.9	29.9	0.5	11.9	0.3	10.3	12.7	9.1	7.4	31.2	0.115
20	Ja Morant	MEM	23	5	1	4	37.4	110.0	5.2	13.6	21.1	1.8	30.0	0.2	8.3	14.6	13.6	14.8	43.6	0.111
21	Stephen Curry	GSW	35	13	6	7	37.9	110.1	4.5	11.1	16.8	1.0	16.3	0.5	13.3	12.8	11.3	10.8	39.8	0.111
22	Nikola Jokic	DEN	28	20	16	4	39.4	110.5	10.0	25.8	35.7	1.1	18.8	1.0	29.4	10.6	8.1	10.6	37.8	0.108
23	Klay Thompson	GSW	33	13	6	7	36.0	109.9	4.1	10.1	15.4	0.5	10.6	0.3	8.7	11.3	11.0	10.5	36.3	0.106
24	Dennis Schroder	LAL	29	16	8	8	26.1	106.2	1.8	5.9	9.2	1.0	26.2	0.2	7.1	7.1	7.4	6.3	25.0	0.105
25	Mitchell Robinson	NYK	25	11	6	5	27.1	106.9	4.3	15.7	22.3	0.7	20.5	1.5	61.5	10.1	6.7	5.8	26.9	0.105
26	Bam Adebayo	MIA	25	23	13	10	36.9	110.3	7.1	19.6	29.5	0.8	15.7	0.7	23.1	11.5	9.9	9.4	35.0	0.104
27	Tyrese Maxey	PHI	22	11	7	4	38.5	110.7	4.0	10.7	14.5	1.4	24.2	0.5	10.0	12.5	6.7	10.5	31.5	0.104
28	RJ Barrett	NYK	23	11	6	5	34.3	109.6	4.0	11.8	17.1	0.8	17.0	0.2	5.7	13.0	9.5	7.4	32.0	0.104
29	Luke Kennard	MEM	27	5	2	3	21.3	103.5	3.0	13.3	19.0	0.8	33.3	0.0	0.0	5.8	5.2	8.0	21.6	0.103
30	Al Horford	BOS	37	20	11	9	30.8	108.5	5.7	18.2	25.6	1.1	27.5	1.7	37.8	10.4	7.6	7.1	25.7	0.103
31	Nickeil Alexander-Walker	MIN	24	5	1	4	29.6	108.1	1.8	5.7	8.6	0.6	18.8	0.2	6.7	8.6	5.8	8.8	29.6	0.103
32	John Collins	ATL	25	6	2	4	27.4	107.3	3.2	11.3	16.2	0.3	6.7	1.0	31.6	7.0	7.2	10.8	30.0	0.103
33	LeBron James	LAL	38	16	8	8	38.7	110.9	8.3	19.6	30.0	1.1	19.1	1.1	20.2	11.6	10.3	12.5	37.8	0.102
34	Jayson Tatum	BOS	25	20	11	9	40.0	111.2	9.2	22.5	32.3	1.1	21.0	1.1	20.4	13.6	10.9	9.6	33.7	0.102
35	Malik Monk	SAC	25	7	3	4	29.3	108.1	4.6	13.9	21.5	0.7	21.7	0.4	21.4	7.4	9.0	4.4	26.3	0.101
36	Gabe Vincent	MIA	27	22	13	9	30.5	108.9	1.0	3.4	5.2	0.9	19.8	0.2	7.4	8.5	8.1	7.5	30.8	0.100
37	Marcus Smart	BOS	29	20	11	9	34.0	109.9	3.0	8.6	12.3	1.3	27.5	0.3	5.6	11.4	9.0	8.2	29.0	0.100
38	De'Anthony Melton	PHI	25	11	7	4	24.9	106.5	2.0	8.1	11.4	1.2	27.1	0.8	26.5	7.0	4.2	5.7	19.1	0.100
39	Joe Harris	BKN	31	4	0	4	10.9	89.0	1.3	11.9	18.5	0.5	40.0	0.0	0.0	4.0	2.8	1.3	8.0	0.098
40	Anthony Davis	LAL	30	16	8	8	38.0	111.2	11.7	27.0	40.9	1.4	25.6	3.1	56.2	11.4	10.8	12.1	35.3	0.098
41	Bruce Brown	DEN	26	20	16	4	26.6	107.6	3.3	12.1	17.0	1.1	25.3	0.5	18.8	8.4	6.2	6.5	24.2	0.095
42	Joel Embiid	PHI	29	9	5	4	37.4	111.3	8.0	21.6	28.9	0.7	12.0	2.8	61.0	10.9	6.3	11.2	28.9	0.095
43	Davion Mitchell	SAC	24	7	3	4	20.0	104.2	0.9	3.7	5.9	0.9	26.1	0.1	11.1	4.9	6.6	4.3	17.1	0.095
44	Jaylen Brown	BOS	26	20	11	9	37.6	111.4	4.4	11.2	16.4	1.1	21.9	0.4	7.6	12.8	10.5	8.6	32.0	0.093
45	Caleb Martin	MIA	27	23	13	10	30.2	109.3	4.3	14.1	21.9	0.9	20.8	0.4	16.4	10.0	8.6	6.4	28.1	0.093
46	Josh Hart	NYK	28	11	6	5	32.1	110.2	5.7	18.1	27.0	0.8	19.1	0.3	8.6	13.3	6.9	7.0	26.7	0.091
47	Jarrett Allen	CLE	25	5	1	4	38.1	111.8	4.4	11.4	21.4	0.8	16.0	1.0	26.3	16.8	15.0	12.8	37.2	0.090
48	Michael Porter Jr.	DEN	25	20	16	4	32.6	110.6	7.1	22.1	29.8	0.5	12.0	0.6	20.4	8.1	6.2	9.4	32.8	0.089
49	Dorian Finney-Smith	BKN	30	4	0	4	25.1	108.2	3.0	11.5	19.0	0.8	30.0	0.5	22.2	6.3	10.5	5.5	25.0	0.089
50	Jimmy Butler	MIA	33	22	13	9	39.7	112.7	4.3	11.3	17.3	1.8	29.2	0.6	21.5	13.2	10.2	10.3	40.8	0.084

TEAM 3-Point Field Goal Percentage (3-point field goals made divided by 3-point field goals attempted.):
	TEAM	GP	3P%	MPG	PPG	RPG	APG	SPG	BPG	TPG	FGM	FGA	FG%	3PM	3PA	FTM	FTA	FT%	MIN	PTS	REB	AST	STL	BLK	TOV	PF
Boston Celtics	Boston Celtics	3539	35.4	241.8	104.5	42.8	24.1	8.2	5.0	15.4	39.7	84.5	47.1	5.7	16.1	19.3	25.1	77.1	855,560	369,985	151,607	85,313	29,135	17,654	54,677	79,227
New York Knicks	New York Knicks	3534	35.3	242.0	101.1	42.3	22.4	7.9	4.4	15.7	38.4	83.5	46.0	5.6	15.8	18.7	24.8	75.5	855,060	357,261	149,514	79,148	27,777	15,556	55,490	82,343
Golden State Warriors	Golden State Warriors	3533	36.1	241.6	106.9	43.6	24.1	8.6	5.1	16.1	40.6	87.3	46.5	6.1	16.9	19.6	26.0	75.4	853,520	377,826	154,145	85,126	30,364	17,932	56,910	81,566
Detroit Pistons	Detroit Pistons	3534	34.7	241.7	101.3	43.0	22.4	7.6	4.9	15.0	38.6	84.2	45.8	5.1	14.6	19.1	25.6	74.7	854,210	357,928	151,843	79,338	26,718	17,248	53,018	78,281
Los Angeles Lakers	Los Angeles Lakers	3539	34.4	241.8	106.5	43.8	24.7	8.2	5.4	15.3	40.7	85.4	47.6	5.5	15.9	19.7	26.5	74.4	855,610	376,954	155,130	87,527	28,877	19,276	54,197	75,891
Sacramento Kings	Sacramento Kings	3540	35.6	241.6	104.4	42.5	23.7	8.0	4.6	15.9	39.8	85.6	46.5	5.3	14.9	19.6	26.0	75.4	855,350	369,640	150,618	83,882	28,473	16,342	56,199	80,120
Philadelphia 76ers	Philadelphia 76ers	3541	34.3	241.9	102.2	42.9	22.8	8.7	5.5	16.1	38.5	83.3	46.3	4.7	13.8	20.4	27.0	75.7	856,490	362,014	151,963	80,830	30,761	19,537	57,047	75,915
Atlanta Hawks	Atlanta Hawks	3535	34.9	241.7	102.0	42.8	22.6	8.1	5.1	15.5	38.5	83.7	46.0	5.4	15.4	19.6	25.7	76.3	854,525	360,611	151,330	79,834	28,765	18,197	54,677	77,551
Washington Wizards	Washington Wizards	3540	34.4	241.8	102.0	42.5	22.9	7.8	4.9	15.3	39.2	85.3	46.0	4.7	13.7	18.8	25.1	75.1	855,925	360,991	150,305	81,061	27,728	17,482	54,320	78,370
Chicago Bulls	Chicago Bulls	3533	35.3	241.9	101.6	43.4	23.8	8.0	4.9	15.6	39.0	84.1	46.3	4.9	13.8	18.8	24.9	75.7	854,745	359,024	153,392	84,011	28,125	17,472	55,225	77,813
San Antonio Spurs	San Antonio Spurs	3539	36.3	241.6	104.5	43.7	24.2	7.8	5.7	15.2	40.0	84.1	47.6	5.1	14.1	19.4	25.8	75.1	854,910	369,825	154,599	85,588	27,765	20,054	53,746	75,041
Denver Nuggets	Denver Nuggets	3541	34.6	241.6	107.3	44.0	24.4	8.4	5.4	15.6	40.6	87.8	46.3	5.3	15.3	20.7	27.2	76.2	855,565	379,992	155,661	86,311	29,670	19,009	55,251	81,559
Indiana Pacers	Indiana Pacers	3540	35.6	241.7	102.8	42.9	23.4	7.9	5.1	15.7	38.9	83.7	46.4	5.4	15.2	19.7	25.6	76.9	855,525	363,920	151,954	82,893	28,051	17,928	55,534	81,220
Brooklyn Nets	Brooklyn Nets	3540	34.5	241.7	101.5	43.2	22.8	8.1	5.2	16.0	38.4	84.6	45.3	5.3	15.3	19.5	25.9	75.3	855,450	359,397	152,960	80,717	28,777	18,378	56,615	80,636
Houston Rockets	Houston Rockets	3540	34.9	241.7	104.0	43.5	23.1	8.1	5.2	16.0	39.0	84.4	46.2	6.7	19.2	19.3	25.7	75.1	855,525	368,221	153,946	81,806	28,539	18,575	56,811	76,358
Oklahoma City Thunder	Oklahoma City Thunder	3540	35.1	241.8	104.8	43.2	23.0	8.6	5.0	15.6	39.6	84.9	46.6	5.6	15.9	20.0	26.2	76.2	855,800	370,932	152,805	81,556	30,524	17,554	55,344	79,938
Milwaukee Bucks	Milwaukee Bucks	3541	35.7	241.7	103.6	42.3	23.7	8.3	4.8	15.4	39.5	84.5	46.7	5.5	15.5	19.1	25.2	75.9	855,715	366,720	149,753	83,820	29,518	17,045	54,426	80,559
Phoenix Suns	Phoenix Suns	3541	35.8	241.5	106.9	43.0	25.0	8.2	5.0	15.8	40.8	85.7	47.6	5.7	16.0	19.6	25.6	76.5	855,140	378,373	152,135	88,602	29,104	17,567	56,003	78,778
L.A. Clippers	L.A. Clippers	3540	35.1	241.4	102.6	42.4	22.8	8.0	5.3	16.0	39.1	84.3	46.3	5.1	14.6	19.3	26.1	74.0	854,675	363,113	150,048	80,541	28,345	18,633	56,754	79,624
Cleveland Cavaliers	Cleveland Cavaliers	3533	35.8	241.7	100.9	42.3	23.1	7.7	4.9	15.2	38.3	83.2	46.0	5.3	14.8	19.0	25.2	75.1	854,020	356,313	149,620	81,500	27,121	17,251	53,697	76,339
Portland Trail Blazers	Portland Trail Blazers	3542	35.6	241.8	104.6	43.5	23.1	7.9	5.0	15.4	39.6	85.0	46.6	5.6	15.7	19.8	26.1	75.6	856,380	370,370	154,042	81,886	28,056	17,570	54,440	78,428
Utah Jazz	Utah Jazz	3540	35.5	241.4	103.3	42.6	24.6	8.1	5.6	16.0	38.8	81.8	47.5	4.7	13.4	20.9	27.5	76.0	854,600	365,736	150,871	87,089	28,653	19,717	56,586	81,792
Dallas Mavericks	Dallas Mavericks	3461	35.5	241.7	103.6	42.6	22.5	7.4	4.7	14.2	39.1	85.0	46.0	6.2	17.5	19.2	24.8	77.3	836,565	358,498	147,428	78,033	25,496	16,152	48,985	74,592
Miami Heat	Miami Heat	2803	35.7	241.9	99.2	41.9	21.7	7.6	4.9	15.1	37.2	80.9	45.9	6.7	18.9	18.1	24.4	74.3	678,020	277,963	117,500	60,927	21,419	13,699	42,228	61,294
Charlotte Hornets	Charlotte Hornets	2631	35.5	241.9	100.6	41.8	23.4	7.8	4.8	14.4	37.7	83.3	45.2	6.3	17.8	19.0	25.1	75.5	636,465	264,571	109,961	61,571	20,551	12,576	37,875	54,507
Minnesota Timberwolves	Minnesota Timberwolves	
Orlando Magic	Orlando Magic	
Toronto Raptors	Toronto Raptors	
Memphis Grizzlies	Memphis Grizzlies	
New Orleans Pelicans	New Orleans Pelicans	


Individual:
M	FGA	FG%	3PM	3PA	FTM	FTA	FT%	MIN	PTS	REB	AST	STL	BLK	TOV	PF	+/-
Steven Adams	Steven Adams	2022-23	
MEMMEM
42	0.0	27.0	8.6	11.5	2.3	0.9	1.1	1.9	3.7	6.3	59.7	0.0	0.0	1.1	3.1	36.4	1,133	361	485	97	36	46	79	98	+243
Giannis Antetokounmpo	Giannis Antetokounmpo	2022-23	
MILMIL
63	27.5	32.1	31.1	11.8	5.7	0.8	0.8	3.9	11.2	20.3	55.3	0.7	2.7	7.9	12.3	64.5	2,024	1,959	742	359	52	51	246	197	+341
Harrison Barnes	Harrison Barnes	2022-23	
SACSAC
82	37.4	32.5	15.0	4.5	1.6	0.7	0.1	1.0	4.6	9.6	47.3	1.6	4.3	4.3	5.0	84.7	2,662	1,230	366	128	57	10	86	103	+255
Will Barton	Will Barton	2022-23	
TOT
56	36.7	17.7	6.8	2.4	2.0	0.5	0.2	0.9	2.5	6.5	37.9	1.2	3.2	0.7	0.8	78.7	993	379	137	112	28	13	48	56	-168
Nicolas Batum	Nicolas Batum	2022-23	
LACLAC
78	39.1	21.9	6.1	3.8	1.6	0.7	0.6	0.6	2.1	4.9	42.0	1.6	4.1	0.4	0.6	70.8	1,709	478	299	121	54	44	50	149	+165
Bradley Beal	Bradley Beal	2022-23	
WASWAS
50	36.5	33.5	23.2	3.9	5.4	0.9	0.7	2.9	8.9	17.6	50.6	1.6	4.4	3.8	4.6	84.2	1,673	1,160	196	271	45	33	145	107	+42
Patrick Beverley	Patrick Beverley	2022-23	
TOT
67	33.5	27.1	6.2	3.7	2.9	0.9	0.6	0.9	2.1	5.4	40.0	1.2	3.6	0.7	1.0	72.3	1,816	415	247	194	63	41	60	187	-80
Bismack Biyombo	Bismack Biyombo	2022-23	
PHXPHX
61		14.3	4.3	4.3	0.9	0.3	1.4	0.8	2.0	3.4	57.8	0.0	0.0	0.4	1.1	35.7	874	263	260	56	18	88	51	114	+48
Reggie Bullock	Reggie Bullock	2022-23	
DALDAL
78	38.0	30.3	7.2	3.6	1.4	0.7	0.2	0.5	2.5	6.0	40.9	1.9	5.1	0.3	0.5	70.3	2,364	561	283	108	54	13	36	166	-88
Alec Burks	Alec Burks	2022-23	
DETDET
51	41.4	22.0	12.8	3.1	2.2	0.7	0.2	1.1	3.9	9.0	43.6	1.9	4.7	3.0	3.7	81.4	1,122	652	158	114	38	8	58	98	-7
Jimmy Butler	Jimmy Butler	2022-23	
MIAMIA
64	35.0	33.4	22.9	5.9	5.3	1.8	0.3	1.6	7.5	13.9	53.9	0.6	1.6	7.4	8.7	85.0	2,138	1,466	375	340	117	21	101	80	+47
Kentavious Caldwell-Pope	Kentavious Caldwell-Pope	2022-23	
DENDEN
76	42.3	31.3	10.8	2.7	2.4	1.5	0.5	1.1	3.8	8.3	46.2	1.8	4.2	1.4	1.6	82.4	2,381	822	208	183	112	35	86	145	+493
Michael Carter-Williams	Michael Carter-Williams	2022-23	
ORLORL
5	33.3	8.8	3.4	1.0	1.4	0.2	0.2	0.8	1.2	2.8	42.9	0.2	0.6	0.8	1.4	57.1	44	17	5	7	1	1	4	5	-26
Mike Conley	Mike Conley	2022-23	
TOT
67	38.5	30.3	11.9	2.7	6.7	1.1	0.2	1.5	3.9	9.1	42.8	2.0	5.2	2.1	2.5	83.4	2,029	798	182	450	73	14	103	139	+60
Jae Crowder	Jae Crowder	2022-23	
MILMIL
18	43.6	18.9	6.9	3.8	1.5	0.7	0.3	0.4	2.5	5.2	47.9	1.3	3.1	0.6	0.7	83.3	340	124	69	27	12	6	7	27	0
Stephen Curry	Stephen Curry	2022-23	
GSWGSW
56	42.7	34.7	29.4	6.1	6.3	0.9	0.4	3.2	10.0	20.2	49.3	4.9	11.4	4.6	5.0	91.5	1,941	1,648	341	352	52	20	179	117	+268
Anthony Davis	Anthony Davis	2022-23	
LALLAL
56	25.7	34.0	25.9	12.5	2.6	1.1	2.0	2.2	9.7	17.2	56.3	0.3	1.3	6.2	7.9	78.4	1,904	1,451	702	148	59	114	122	146	+205
DeMar DeRozan	DeMar DeRozan	2022-23	
CHICHI
74	32.4	36.2	24.5	4.6	5.1	1.1	0.5	2.1	8.9	17.6	50.4	0.6	1.9	6.2	7.1	87.2	2,682	1,816	343	377	83	36	153	186	+67
Gorgui Dieng	Gorgui Dieng	2022-23	
SASSAS
31	28.0	11.5	3.9	3.5	1.7	0.1	0.5	1.0	1.5	3.8	38.5	0.7	2.4	0.3	0.4	76.9	358	121	107	53	4	14	32	57	-152
Goran Dragic	Goran Dragic	2022-23	
TOT
58	35.9	15.0	6.3	1.4	2.6	0.2	0.1	1.1	2.4	5.8	42.1	0.9	2.5	0.5	0.8	68.9	870	365	81	151	13	4	63	65	+5
Andre Drummond	Andre Drummond	2022-23	
CHICHI
67	0.0	12.7	6.0	6.6	0.5	0.7	0.4	1.1	2.5	4.1	60.6	0.0	0.0	1.0	1.9	53.6	849	399	444	33	45	27	75	117	+23
Kevin Durant	Kevin Durant	2022-23	
TOT
47	40.4	35.6	29.1	6.7	5.0	0.7	1.4	3.3	10.3	18.3	56.0	2.0	4.9	6.5	7.1	91.9	1,672	1,366	313	235	34	67	156	99	+258
Evan Fournier	Evan Fournier	2022-23	
NYKNYK
27	30.7	17.0	6.1	1.8	1.3	0.6	0.1	0.8	2.1	6.1	33.7	1.3	4.2	0.7	0.8	85.7	459	165	49	36	16	3	22	46	-54
Rudy Gay	Rudy Gay	2022-23	
UTAUTA
56	25.4	14.6	5.2	2.9	1.0	0.3	0.3	0.7	1.9	5.1	38.0	0.6	2.3	0.8	0.9	85.7	816	293	163	57	19	18	37	68	+57
Paul George	Paul George	2022-23	
LACLAC
56	37.1	34.6	23.8	6.1	5.1	1.5	0.4	3.1	8.2	17.9	45.7	2.8	7.6	4.6	5.3	87.1	1,939	1,332	342	288	83	20	176	159	+157
Taj Gibson	

TEAM defensive RATINGS:
TEAM	GP	DRTG	MPG	PPG	RPG	APG	SPG	BPG	TPG	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	MIN	PTS	REB	AST	STL	BLK	TOV	PF
Boston Celtics		4031	104.7	241.7	104.8	43.8	24.2	8.1	4.8	16.1	40.2	85.7	46.9	5.7	16.1	35.4	19.5	25.2	77.2	974,190	422,480	176,471	97,613	32,778	19,348	64,745	91,059
New York Knicks		4026	105.9	241.9	101.7	42.7	22.6	7.9	4.4	16.1	39.0	84.6	46.2	5.6	15.8	35.3	18.7	24.8	75.5	973,915	409,256	171,729	90,835	31,789	17,535	64,779	94,588
Golden State Warriors	4025	107.4	241.5	107.1	44.4	24.2	8.8	5.1	16.5	41.1	88.3	46.6	6.1	16.9	36.1	19.5	25.9	75.4	972,175	431,153	178,523	97,513	35,483	20,420	66,548	93,784
Detroit Pistons	Detroit 	4026	105.8	241.6	101.9	43.3	22.6	7.8	4.9	15.7	39.1	85.1	46.0	5.1	14.6	34.7	19.2	25.7	74.7	972,815	410,133	174,168	90,897	31,566	19,718	63,132	90,484
Los Angeles Lakers		4031	105.8	241.7	106.7	44.3	24.9	8.3	5.5	15.9	41.1	86.3	47.6	5.5	15.9	34.4	19.7	26.4	74.6	974,315	430,195	178,636	100,360	33,496	22,234	64,162	87,709
Sacramento Kings		4032	107.5	241.6	104.6	42.9	23.7	8.2	4.6	16.4	40.1	86.3	46.4	5.3	14.9	35.6	19.8	26.2	75.7	974,055	421,870	173,071	95,556	33,212	18,543	66,036	92,880
Philadelphia 76ers		4033	105.5	241.8	102.8	43.6	22.9	8.8	5.5	16.7	39.0	84.3	46.3	4.7	13.8	34.3	20.7	27.4	75.6	975,295	414,650	175,645	92,435	35,295	22,095	67,470	88,374
Atlanta Hawks	4027	106.4	241.7	102.4	43.2	22.6	8.3	5.1	16.0	38.9	84.6	46.0	5.4	15.4	34.9	19.9	26.2	76.1	973,280	412,399	174,138	91,092	33,507	20,367	64,497	90,767
Washington Wizards		4032	106.4	241.7	102.5	43.3	23.0	7.9	5.0	15.8	39.7	86.3	46.1	4.7	13.7	34.4	19.0	25.4	74.8	974,705	413,476	174,390	92,711	31,980	20,037	63,864	89,620
Chicago Bulls		4025	105.1	241.9	101.5	43.9	23.8	8.0	4.8	16.1	39.1	84.6	46.2	4.9	13.8	35.3	19.1	25.2	75.8	973,525	408,522	176,735	95,700	32,124	19,432	64,842	89,387
Houston Rockets		4032	106.1	241.6	104.4	43.7	23.4	8.1	5.1	16.5	39.5	85.2	46.4	6.7	19.2	34.9	19.4	25.6	75.6	974,205	420,796	176,340	94,543	32,599	20,708	66,402	88,733
Oklahoma City Thunder		4032	105.7	241.7	104.8	43.7	23.1	8.8	4.9	16.2	40.0	86.0	46.5	5.6	15.9	35.1	20.0	26.4	75.8	974,555	422,712	176,016	93,138	35,320	19,911	65,172	92,242
Milwaukee Bucks		4033	106.0	241.7	104.0	42.7	24.0	8.4	4.9	15.9	40.1	85.6	46.9	5.5	15.5	35.7	19.0	25.0	75.8	974,670	419,559	172,321	96,632	34,074	19,681	64,186	92,651
Phoenix Suns	4033	106.0	241.5	107.0	43.2	25.2	8.4	4.9	16.5	41.1	86.4	47.5	5.7	16.0	35.8	19.8	25.8	76.5	973,870	431,410	174,406	101,554	34,003	19,593	66,637	90,998
L.A. Clippers		4032	107.7	241.4	103.3	42.9	22.9	8.1	5.2	16.6	39.6	85.2	46.5	5.1	14.6	35.1	19.7	26.4	74.3	973,205	416,426	172,854	92,278	32,605	21,166	66,932	91,381
Cleveland Cavaliers		4025	106.3	241.7	101.0	42.7	23.0	7.7	4.9	15.4	38.8	84.5	45.9	5.3	14.8	35.8	18.8	25.0	75.1	972,800	406,654	171,950	92,676	30,916	19,550	62,148	87,826
Portland Trail Blazers		4034	106.1	241.7	104.9	43.9	23.4	8.1	5.0	16.1	40.0	85.6	46.7	5.6	15.7	35.6	19.9	26.4	75.5	974,960	423,052	177,187	94,298	32,826	20,113	65,003	91,099
Utah Jazz		3950	105.5	241.4	103.5	43.2	24.5	8.1	5.5	16.5	39.2	82.9	47.3	4.7	13.4	35.5	20.9	27.6	76.0	953,475	408,872	170,802	96,684	32,163	21,746	65,211	92,166
San Antonio Spurs		3785	105.0	241.6	105.3	43.8	24.4	8.0	5.7	15.5	40.4	84.7	47.7	5.1	14.1	36.3	19.6	26.0	75.4	914,275	398,422	165,598	92,256	30,248	21,615	58,833	80,949
Denver Nuggets		3787	107.8	241.6	107.6	44.2	24.5	8.5	5.4	16.0	40.8	87.9	46.4	5.3	15.3	34.6	21.0	27.6	76.0	914,880	407,469	167,465	92,926	32,120	20,318	60,676	87,923
Indiana Pacers		3786	106.2	241.6	103.1	43.2	23.5	8.0	5.1	15.9	39.1	84.4	46.4	5.4	15.2	35.6	19.8	25.8	76.7	914,815	390,491	163,712	88,889	30,470	19,258	60,321	87,573
Brooklyn Nets		3786	106.6	241.6	101.6	43.4	22.7	8.3	5.3	16.3	38.5	85.1	45.3	5.3	15.3	34.5	19.6	26.1	75.1	914,840	384,840	164,176	85,925	31,289	20,063	61,880	87,455
Dallas Mavericks		3461	108.4	241.7	103.6	42.6	22.5	7.4	4.7	14.2	39.1	85.0	46.0	6.2	17.5	35.5	19.2	24.8	77.3	836,565	358,498	147,428	78,033	25,496	16,152	48,985	74,592
Miami Heat		2803	105.7	241.9	99.2	41.9	21.7	7.6	4.9	15.1	37.2	80.9	45.9	6.7	18.9	35.7	18.1	24.4	74.3	678,020	277,963	117,500	60,927	21,419	13,699	42,228	61,294
Charlotte Hornets		2631	108.2	241.9	100.6	41.8	23.4	7.8	4.8	14.4	37.7	83.3	45.2	6.3	17.8	35.5	19.0	25.1	75.5	636,465	264,571	109,961	61,571	20,551	12,576	37,875	54,507

Team offensive ratings:
TEAM	GP	ORTG	MPG	PPG	RPG	APG	SPG	BPG	TPG	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	MIN	PTS	REB	AST	STL	BLK	TOV	PF
Boston Celtics	Boston Celtics	4031	107.0	241.7	104.8	43.8	24.2	8.1	4.8	16.1	40.2	85.7	46.9	5.7	16.1	35.4	19.5	25.2	77.2	974,190	422,480	176,471	97,613	32,778	19,348	64,745	91,059
New York Knicks	New York Knicks	4026	105.2	241.9	101.7	42.7	22.6	7.9	4.4	16.1	39.0	84.6	46.2	5.6	15.8	35.3	18.7	24.8	75.5	973,915	409,256	171,729	90,835	31,789	17,535	64,779	94,588
Golden State Warriors	Golden State Warriors	4025	106.9	241.5	107.1	44.4	24.2	8.8	5.1	16.5	41.1	88.3	46.6	6.1	16.9	36.1	19.5	25.9	75.4	972,175	431,153	178,523	97,513	35,483	20,420	66,548	93,784
